plc_reg,method_1,method_2
D0243,0,0
D0244,0,0
D0245,0,0
D0246,0,0
D0247,0,0
D0248,0,0
D0249,0,0
D0250,592,592
D0251,0,0
D0252,0,0
D0253,0,0
D0254,0,0
D0255,0,0
D0256,0,0
D0257,0,0
D0258,0,0
D0259,0,0
D0260,0,0
D0261,0,0
D0262,0,0
D0263,0,0
D0264,0,0
D0265,0,0
D0266,0,0
D0267,0,0
D0268,0,0
D0269,0,0
D0270,0,0
D0271,0,0
D0272,0,0
D0273,0,0
D0274,0,0
D0275,0,0
D0276,0,0
D0277,0,0
D0278,0,0
D0279,0,0
D0280,0,0
D0281,0,0
D0282,0,0
D0283,0,0
D0284,0,0
D0285,0,0
D0286,0,0
D0287,0,0
D0288,0,0
D0289,0,0
D0290,0,0
D0291,0,0
D0292,0,0
D0293,0,0
D0294,0,0
D0295,0,0
D0296,0,0
D0297,0,0
D0298,0,0
D0299,0,0
D0300,768,768
D0301,0,0
D0302,0,0
D0303,0,0
D0304,0,0
D0305,0,0
D0306,0,0
D0307,0,0
D0308,0,0
D0309,0,0
D0310,0,0
D0311,0,0
D0312,0,0
D0313,0,0
D0314,0,0
D0315,0,0
D0316,0,0
D0317,0,0
D0318,0,0
D0319,0,0
D0320,0,0
D0321,0,0
D0322,0,0
D0323,0,0
D0324,0,0
D0325,0,0
D0326,0,0
D0327,0,0
D0328,0,0
D0329,0,0
D0330,0,0
D0331,0,0
D0332,0,0
D0333,0,0
D0334,0,0
D0335,0,0
D0336,0,0
D0337,0,0
D0338,0,0
D0339,0,0
D0340,0,0
D0341,0,0
D0342,0,0
D0343,0,0
D0344,0,0
D0345,0,0
D0346,0,0
D0347,0,0
D0348,0,0
D0349,0,0
D0350,848,848
D0351,0,0
D0352,0,0
D0353,0,0
D0354,0,0
D0355,0,0
D0356,0,0
D0357,0,0
D0358,0,0
D0359,0,0
D0360,0,0
D0361,0,0
D0362,0,0
D0363,0,0
D0364,0,0
D0365,0,0
D0366,0,0
D0367,0,0
D0368,0,0
D0369,0,0
D0370,0,0
D0371,0,0
D0372,0,0
D0373,0,0
D0374,0,0
D0375,0,0
D0376,0,0
D0377,0,0
D0378,0,0
D0379,0,0
D0380,0,0
D0381,0,0
D0382,0,0
D0383,0,0
D0384,0,0
D0385,0,0
D0386,0,0
D0387,0,0
D0388,0,0
D0389,0,0
D0390,0,0
D0391,0,0
D0392,0,0
D0393,0,0
D0394,0,0
D0395,0,0
D0396,0,0
D0397,0,0
D0398,0,0
D0399,0,0
D0400,1024,1024
D0401,0,0
D0402,0,0
D0403,0,0
D0404,0,0
D0405,0,0
D0406,0,0
D0407,0,0
D0408,0,0
D0409,0,0
D0410,0,0
D0411,0,0
D0412,0,0
D0413,0,0
D0414,0,0
D0415,0,0
D0416,0,0
D0417,0,0
D0418,0,0
D0419,0,0
D0420,0,0
D0421,0,0
D0422,0,0
D0423,0,0
D0424,0,0
D0425,0,0
D0426,0,0
D0427,0,0
D0428,0,0
D0429,0,0
D0430,0,0
D0431,0,0
D0432,0,0
D0433,0,0
D0434,0,0
D0435,0,0
D0436,0,0
D0437,0,0
D0438,0,0
D0439,0,0
D0440,0,0
D0441,0,0
D0442,0,0
D0443,0,0
D0444,0,0
D0445,0,0
D0446,0,0
D0447,0,0
D0448,0,0
D0449,0,0
D0450,1104,1104
D0451,0,0
D0452,0,0
D0453,0,0
D0454,0,0
D0455,0,0
D0456,0,0
D0457,0,0
D0458,0,0
D0459,0,0
D0460,0,0
D0461,0,0
D0462,0,0
D0463,0,0
D0464,0,0
D0465,0,0
D0466,0,0
D0467,0,0
D0468,0,0
D0469,0,0
D0470,0,0
D0471,0,0
D0472,0,0
D0473,0,0
D0474,0,0
D0475,0,0
D0476,0,0
D0477,0,0
D0478,0,0
D0479,0,0
D0480,0,0
D0481,0,0
D0482,0,0
D0483,0,0
D0484,0,0
D0485,0,0
D0486,0,0
D0487,0,0
D0488,0,0
D0489,0,0
D0490,0,0
D0491,0,0
D0492,0,0
D0493,0,0
D0494,0,0
D0495,0,0
D0496,0,0
D0497,0,0
D0498,0,0
D0499,0,0
D0500,1280,1280
